PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER;;;;;;;;
Dki Jakarta;Kepulauan Seribu;ID3101;-0,34768;0,683642825;-0,5820;0,0001507;0,030659325;0,000057;6,3909;27,9663;78,7019;2.774;27996;15,06;41;1,464494928;;;;;;;;
Dki Jakarta;Kota Jakarta Selatan;ID3171;0,07422;0,21479562;-0,2695;0,0002596;0,03337554;0,000158;8,3426;27,7750;79,1410;14.475;2232442;3,56;1836;0,822417783;;;;;;;;
Dki Jakarta;Kota Jakarta Timur;ID3172;0,09767;0,183548437;-0,2383;0,0002486;0,033274559;0,000143;8,0595;27,7493;79,8832;16.729;3051866;4,28;1657;0,542946512;;;;;;;;
Dki Jakarta;Kota Jakarta Pusat;ID3173;0,10550;0,120993673;-0,1757;0,0002475;0,034001633;0,000155;7,2248;28,1297;78,9264;20.360;1057465;4,94;1772;1,675705579;;;;;;;;
Dki Jakarta;Kota Jakarta Barat;ID3174;0,10547;0,136643711;-0,1836;0,0002510;0,034446758;0,000162;6,3250;27,9206;78,4367;19.608;2446687;4,31;1354;0,553401395;;;;;;;;
Dki Jakarta;Kota Jakarta Utara;ID3175;0,05861;0,128841176;-0,1679;0,0002086;0,033602887;0,000133;5,9571;28,1199;79,2658;12.749;1788981;7,24;813;0,45444865;;;;;;;;
Jawa Barat;Bogor;ID3201;-0,22269;0,730495839;-0,6211;0,0001940;0,030066074;0,000081;10,2354;24,1273;82,5349;2.025;5484150;8,13;441;0,080413555;;;;;;;;
Jawa Barat;Sukabumi;ID3202;-0,26175;0,793051434;-0,6758;0,0001168;0,027722415;0,000055;8,9405;23,9308;84,9494;666;2747450;7,7;204;0,074250669;;;;;;;;
Jawa Barat;Cianjur;ID3203;-0,28518;0,800873235;-0,6837;0,0001196;0,027915909;0,000051;8,6231;23,4999;84,8293;653;2500640;11,18;256;0,102373792;;;;;;;;
Jawa Barat;Bandung;ID3204;-0,25395;0,76956947;-0,6680;0,0001282;0,025050122;0,000056;6,6786;22,0896;86,0740;2.074;3652400;7,15;163;0,04462819;;;;;;;;
Jawa Barat;Garut;ID3205;-0,27737;0,808670021;-0,6915;0,0000987;0,025585481;0,000046;8,2935;23,5394;85,5872;847;2613530;10,65;68;0,02601845;;;;;;;;
Jawa Barat;Tasikmalaya;ID3206;-0,30082;0,800856935;-0,6837;0,0001014;0,026805321;0,000046;8,9134;25,0682;86,3363;738;1876890;11,15;36;0,019180666;;;;;;;;
Jawa Barat;Ciamis;ID3207;-0,28519;0,777432002;-0,6602;0,0001204;0,027638581;0,000049;8,2538;25,5903;86,6067;875;1234830;7,97;72;0,058307621;;;;;;;;
Jawa Barat;Kuningan;ID3208;-0,24613;0,785248304;-0,6680;0,0001199;0,027659736;0,000051;9,0965;26,3821;84,0297;1.063;1175950;13,1;115;0,097793274;;;;;;;;
Jawa Barat;Cirebon;ID3209;-0,15235;0,480445336;-0,4570;0,0001428;0,03047965;0,000060;7,1622;28,4790;79,7351;2.327;2301330;12,3;311;0,135139246;;;;;;;;
Jawa Barat;Majalengka;ID3210;-0,18361;0,605469136;-0,5508;0,0001531;0,029400821;0,000062;9,4442;25,9712;81,9523;1.095;1315010;12,33;58;0,044106128;;;;;;;;
Jawa Barat;Sumedang;ID3211;-0,23831;0,77741644;-0,6602;0,0001493;0,027390329;0,000058;8,8646;24,9448;82,7992;764;1159260;10,71;47;0,040543105;;;;;;;;
Jawa Barat;Indramayu;ID3212;-0,19142;0,402333998;-0,4023;0,0001547;0,030615068;0,000061;6,1279;27,9031;77,1543;907;1851730;13,04;144;0,077765117;;;;;;;;
Jawa Barat;Subang;ID3213;-0,25395;0,550769765;-0,5117;0,0001663;0,030488642;0,000065;7,5567;26,4016;80,0204;849;1620700;10,03;88;0,054297526;;;;;;;;
Jawa Barat;Purwakarta;ID3214;-0,25397;0,738334518;-0,6368;0,0001827;0,030226032;0,000073;9,5537;25,3557;82,0888;1.225;1008930;8,83;155;0,153628101;;;;;;;;
Jawa Barat;Karawang;ID3215;-0,29300;0,394538642;-0,3945;0,0001776;0,031380023;0,000066;6,2413;27,3824;79,6676;1.494;2465570;8,95;313;0,126948332;;;;;;;;
Jawa Barat;Bekasi;ID3216;-0,12109;0,378902467;-0,3789;0,0002000;0,032154449;0,000088;6,3782;27,4882;80,2374;2.578;3148740;5,21;535;0,169909234;;;;;;;;
Jawa Barat;Bandung Barat;ID3217;-0,24613;0,746111462;-0,6446;0,0001550;0,028057183;0,000063;6,4744;22,7589;84,9625;1.389;1808420;11,3;79;0,043684542;;;;;;;;
Jawa Barat;Pangandaran;ID3218;-0,31644;0,808685995;-0,6915;0,0000975;0,027913545;0,000046;7,8902;26,5426;83,5813;423;425590;9,65;11;0,025846472;;;;;;;;
Jawa Barat;Kota Bogor;ID3271;-0,01952;0,410100304;-0,4024;0,0002174;0,031444523;0,000104;13,1992;24,6437;82,0858;8.881;1050920;7,24;394;0,374909603;;;;;;;;
Jawa Barat;Kota Sukabumi;ID3272;-0,09766;0,433620509;-0,4257;0,0001066;0,027977583;0,000060;7,9375;22,3272;84,6399;7.271;350150;8,25;93;0,265600457;;;;;;;;
Jawa Barat;Kota Bandung;ID3273;0,09770;0,214802497;-0,3008;0,0001490;0,027996016;0,000072;5,8976;23,5589;84,6935;14.630;2461410;4,37;905;0,367675438;;;;;;;;
Jawa Barat;Kota Cirebon;ID3274;0,02731;0,363291571;-0,4024;0,0001494;0,030536689;0,000066;7,6202;28,7739;79,2594;9.017;335810;10,03;131;0,390101546;;;;;;;;
Jawa Barat;Kota Bekasi;ID3275;0,08205;0,214795072;-0,2617;0,0002406;0,033037942;0,000140;8,0349;27,3966;80,5610;12.414;2568020;4,74;821;0,31970156;;;;;;;;
Jawa Barat;Kota Depok;ID3276;0,02735;0,324214836;-0,3398;0,0002241;0,033444398;0,000123;9,1709;26,7839;80,5809;10.415;2081130;2,58;532;0,255630355;;;;;;;;
Jawa Barat;Kota Cimahi;ID3277;0,08990;0,238230511;-0,3242;0,0001733;0,028337371;0,000080;5,4956;23,3623;84,6572;14.556;574450;5,35;215;0,374271042;;;;;;;;
Jawa Barat;Kota Tasikmalaya;ID3278;-0,19924;0,574222174;-0,5117;0,0001200;0,027523213;0,000051;9,3154;25,0827;88,1269;4.218;723100;13,13;119;0,164569216;;;;;;;;
Jawa Barat;Kota Banjar;ID3279;-0,24613;0,675816446;-0,5977;0,0001291;0,029469473;0,000050;7,2186;26,6536;85,8334;1.792;202720;7,11;39;0,192383583;;;;;;;;
Jawa Tengah;Cilacap;ID3301;-0,26174;0,667981371;-0,5742;0,0001238;0,029099999;0,000052;7,4470;26,6727;84,5135;924;1963824;11,67;235;0,119664491;;;;;;;;
Jawa Tengah;Banyumas;ID3302;-0,25395;0,714875972;-0,6133;0,0001187;0,028847819;0,000051;9,4516;26,0752;84,7616;1.340;1789630;13,66;487;0,272123288;;;;;;;;
Jawa Tengah;Purbalingga;ID3303;-0,26957;0,746138224;-0,6289;0,0001227;0,028284862;0,000050;11,8886;25,7220;84,8830;1.487;1007794;16,24;145;0,14387861;;;;;;;;
Jawa Tengah;Banjarnegara;ID3304;-0,28520;0,761762296;-0,6524;0,0001009;0,02682115;0,000048;11,5743;24,6960;86,2598;1.003;1026866;16,23;115;0,111991243;;;;;;;;
Jawa Tengah;Kebumen;ID3305;-0,24613;0,667982738;-0,5899;0,0001185;0,028512638;0,000049;9,2538;26,5537;83,2868;1.124;1361913;17,83;304;0,223215433;;;;;;;;
Jawa Tengah;Purworejo;ID3306;-0,27738;0,746146549;-0,6524;0,0001237;0,028403666;0,000050;7,8473;26,0741;84,2761;709;773588;12,4;127;0,164170075;;;;;;;;
Jawa Tengah;Wonosobo;ID3307;-0,29300;0,785233075;-0,6680;0,0001084;0,026169864;0,000050;10,7225;24,0067;87,1217;903;886613;17,67;100;0,112788782;;;;;;;;
Jawa Tengah;Magelang;ID3308;-0,24613;0,730497987;-0,6289;0,0001445;0,027390504;0,000057;8,8428;24,5496;86,7703;1.184;1305512;11,91;158;0,121025314;;;;;;;;
Jawa Tengah;Boyolali;ID3309;-0,14453;0,652360663;-0,5821;0,0001473;0,028613947;0,000056;8,0751;25,9903;82,0512;1.061;1070247;10,62;188;0,175660385;;;;;;;;
Jawa Tengah;Klaten;ID3310;-0,16017;0,55859596;-0,5117;0,0001505;0,028912891;0,000057;6,7838;26,2765;83,3173;1.925;1267272;13,49;271;0,213845173;;;;;;;;
Jawa Tengah;Sukoharjo;ID3311;-0,12893;0,542955451;-0,5039;0,0001571;0,028956442;0,000059;7,0513;26,8398;82,2214;1.864;911603;8,23;334;0,366387561;;;;;;;;
Jawa Tengah;Wonogiri;ID3312;-0,14453;0,675796868;-0,6055;0,0001121;0,026929342;0,000049;6,7271;25,6519;84,3284;585;1049292;11,55;201;0,191557736;;;;;;;;
Jawa Tengah;Karanganyar;ID3313;-0,19144;0,667994599;-0,5977;0,0001407;0,027611755;0,000057;7,6322;25,5096;81,7570;1.211;938808;10,68;218;0,232209355;;;;;;;;
Jawa Tengah;Sragen;ID3314;-0,13673;0,566400448;-0,5117;0,0001471;0,029190372;0,000058;7,1790;27,2091;79,0524;1.045;983641;13,83;204;0,207392738;;;;;;;;
Jawa Tengah;Grobogan;ID3315;-0,07423;0,53513893;-0,5039;0,0001447;0,029335644;0,000055;6,3645;27,6608;78,7973;725;1460873;12,74;209;0,14306514;;;;;;;;
Jawa Tengah;Blora;ID3316;-0,05078;0,574197194;-0,5351;0,0001323;0,028500052;0,000053;4,9539;27,2548;79,0869;491;886147;12,39;140;0,157987332;;;;;;;;
Jawa Tengah;Rembang;ID3317;-0,01953;0,535159875;-0,5195;0,0001347;0,028861341;0,000057;3,8528;27,5212;79,6281;730;647766;15,8;95;0,146657898;;;;;;;;
Jawa Tengah;Pati;ID3318;-0,08203;0,480460283;-0,4727;0,0001314;0,028732662;0,000055;6,3546;27,4944;80,6059;894;1330983;10,21;275;0,206614209;;;;;;;;
Jawa Tengah;Kudus;ID3319;-0,12892;0,511725817;-0,4961;0,0001467;0,029613699;0,000057;8,0584;27,5819;80,5748;2.005;852443;7,6;287;0,336679403;;;;;;;;
Jawa Tengah;Jepara;ID3320;-0,16798;0,660157942;-0,6055;0,0001331;0,029035429;0,000056;9,5432;27,5041;80,5343;1.122;1188510;7,44;233;0,196043786;;;;;;;;
Jawa Tengah;Demak;ID3321;-0,09765;0,394533611;-0,3945;0,0001634;0,029868208;0,000057;6,7332;28,3909;78,3506;1.347;1212377;12,92;184;0,151767973;;;;;;;;
Jawa Tengah;Semarang;ID3322;-0,20705;0,714863594;-0,6289;0,0001391;0,027490018;0,000057;7,6900;25,8602;82,7201;1.115;1059844;7,82;200;0,188707017;;;;;;;;
Jawa Tengah;Temanggung;ID3323;-0,25394;0,777375408;-0,6758;0,0001168;0,026659514;0,000053;9,4990;24,6096;85,9640;948;794403;10,17;128;0,161127287;;;;;;;;
Jawa Tengah;Kendal;ID3324;-0,20704;0,667960428;-0,6055;0,0001531;0,029704393;0,000062;9,2147;27,1016;82,0877;917;1025020;10,24;154;0,150240971;;;;;;;;
Jawa Tengah;Batang;ID3325;-0,27738;0,793027565;-0,6836;0,0001434;0,029309555;0,000059;11,6418;26,0322;84,0413;1.023;807005;9,68;86;0,106566874;;;;;;;;
Jawa Tengah;Pekalongan;ID3326;-0,27739;0,753976588;-0,6367;0,0001444;0,028862175;0,000057;14,6245;25,8610;84,1659;1.167;976504;10,57;105;0,107526441;;;;;;;;
Jawa Tengah;Pemalang;ID3327;-0,20705;0,628899019;-0,5664;0,0001429;0,029504301;0,000054;10,8346;26,2552;83,3520;1.328;1484209;16,56;161;0,108475289;;;;;;;;
Jawa Tengah;Tegal;ID3328;-0,14454;0,582021784;-0,5352;0,0001417;0,029618666;0,000056;7,8819;26,7423;83,6991;1.836;1608611;8,6;216;0,134277336;;;;;;;;
Jawa Tengah;Brebes;ID3329;-0,16797;0,589836245;-0,5351;0,0001379;0,029579807;0,000054;7,5547;26,8806;84,4078;1.047;1992685;17,43;253;0,126964372;;;;;;;;
Jawa Tengah;Kota Magelang;ID3371;0,03519;0,378971318;-0,3944;0,0001566;0,028130054;0,000060;8,6853;25,0326;87,5513;7.572;121610;7,75;130;1,068991037;;;;;;;;
Jawa Tengah;Kota Surakarta;ID3372;0,12894;0,222649157;-0,2773;0,0002028;0,029595814;0,000067;8,0327;27,1617;80,8935;11.361;522728;9,4;457;0,874259653;;;;;;;;
Jawa Tengah;Kota Salatiga;ID3373;-0,15236;0,621118556;-0,5665;0,0001315;0,027027437;0,000058;7,6128;25,1682;83,7415;3.374;193525;5,14;138;0,713086165;;;;;;;;
Jawa Tengah;Kota Semarang;ID3374;-0,09766;0,488278794;-0,4727;0,0001471;0,030318495;0,000067;8,1311;27,7338;78,9323;4.432;1656564;4,56;791;0,47749438;;;;;;;;
Jawa Tengah;Kota Pekalongan;ID3375;-0,03520;0,277319412;-0,3633;0,0001464;0,03153793;0,000058;12,2590;27,8899;82,3834;6.813;308310;7,59;178;0,577340988;;;;;;;;
Jawa Tengah;Kota Tegal;ID3376;0,00388;0,222676687;-0,3086;0,0001557;0,031242788;0,000059;4,7850;28,0877;81,3199;6.950;275781;8,12;125;0,453258201;;;;;;;;
