PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Dki Jakarta;Kepulauan Seribu;ID3101;-0,32422;0,613231;-0,5117;0,0002;0,028688;0,000064;6,9120;27,9220;78,9125;2.841;28262;14,11;18;0,636898
Dki Jakarta;Kota Jakarta Selatan;ID3171;0,06642;0,238234;-0,3085;0,0003;0,032184;0,000151;7,6355;27,5972;79,6818;14.545;2234262;3,52;3.789;1,695862
Dki Jakarta;Kota Jakarta Timur;ID3172;0,07423;0,175737;-0,2461;0,0003;0,032161;0,000146;6,4680;27,6505;80,4027;16.879;3066074;4,3;3.092;1,008456
Dki Jakarta;Kota Jakarta Pusat;ID3173;0,08202;0,121039;-0,1835;0,0003;0,032995;0,000149;5,7248;28,0158;79,3787;20.618;1053482;4,9;4.913;4,663582
Dki Jakarta;Kota Jakarta Barat;ID3174;0,05861;0,128858;-0,1680;0,0003;0,032589;0,000140;5,6104;27,7855;78,8822;19.679;2458707;4,22;3.067;1,247404
Dki Jakarta;Kota Jakarta Utara;ID3175;0,05079;0,136668;-0,1836;0,0002;0,032639;0,000125;5,1267;28,0286;79,6468;12.811;1799220;7,24;18;0,010004
Jawa Barat;Bogor;ID3201;-0,22269;0,707061;-0,6133;0,0002;0,028778;0,000085;9,7895;24,0592;83,5574;1.861;5566838;7,73;850;0,152690
Jawa Barat;Sukabumi;ID3202;-0,26174;0,746111;-0,6446;0,0001;0,026596;0,000062;12,3835;23,8090;86,2168;674;2806664;7,34;314;0,111877
Jawa Barat;Cianjur;ID3203;-0,29299;0,79302;-0,6915;0,0001;0,026942;0,000056;10,5822;23,4097;85,8506;700;2542793;10,55;185;0,072755
Jawa Barat;Bandung;ID3204;-0,24612;0,667978;-0,6055;0,0001;0,023754;0,000061;7,5713;21,9567;87,0412;2.136;3718660;6,8;437;0,117515
Jawa Barat;Garut;ID3205;-0,26955;0,777381;-0,6680;0,0001;0,024488;0,000052;10,2535;23,4532;86,2690;847;2627220;10,42;246;0,093635
Jawa Barat;Tasikmalaya;ID3206;-0,30083;0,816486;-0,6993;0,0001;0,025588;0,000052;11,6220;24,9980;86,7507;705;1906288;10,73;125;0,065572
Jawa Barat;Ciamis;ID3207;-0,27739;0,761756;-0,6680;0,0001;0,026534;0,000055;9,9963;25,4862;87,4231;782;1247768;7,72;144;0,115406
Jawa Barat;Kuningan;ID3208;-0,24614;0,777395;-0,6680;0,0001;0,026534;0,000058;9,6309;26,2136;85,4968;1.003;1196017;12,76;211;0,176419
Jawa Barat;Cirebon;ID3209;-0,16797;0,527346;-0,4962;0,0001;0,029642;0,000064;7,5583;28,3623;80,8410;2.160;2315417;12,01;465;0,200828
Jawa Barat;Majalengka;ID3210;-0,17579;0,58985;-0,5508;0,0002;0,028894;0,000066;9,6231;25,8206;83,7634;1.004;1335460;11,94;145;0,108577
Jawa Barat;Sumedang;ID3211;-0,24614;0,79304;-0,6758;0,0002;0,026565;0,000064;9,2967;24,8142;84,5912;745;1167033;10,14;136;0,116535
Jawa Barat;Indramayu;ID3212;-0,20705;0,472667;-0,4570;0,0002;0,029933;0,000067;5,8092;27,7622;78,5588;902;1871832;12,77;227;0,121272
Jawa Barat;Subang;ID3213;-0,26956;0,550772;-0,5117;0,0002;0,029456;0,000072;6,5597;26,2727;81,4863;750;1624386;9,75;206;0,126817
Jawa Barat;Purwakarta;ID3214;-0,25394;0,714885;-0,6368;0,0002;0,028974;0,000078;8,5928;25,2905;83,0775;1.036;1028569;8,7;258;0,250834
Jawa Barat;Karawang;ID3215;-0,28517;0,429676;-0,4336;0,0002;0,030259;0,000078;4,6777;27,3109;80,3670;1.309;2505247;8,44;477;0,190400
