PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER
Dki Jakarta;Kepulauan Seribu;ID3101;-0,30861;0,644558957;-0,5742;0,000165;0,032672904;0,0000549;4,0828;28,3915;77,7753;2.659;28523;13,13;38;1,332258178
Dki Jakarta;Kota Jakarta Selatan;ID3171;0,06642;0,183547722;-0,2383;0,000329;0,036752623;0,0001620;5,3182;28,3449;75,3862;15.424;2235606;3,1;3043;1,361152189
Dki Jakarta;Kota Jakarta Timur;ID3172;0,09768;0,152294837;-0,2226;0,000309;0,036442985;0,0001427;4,8112;28,2898;76,3592;16.598;3079618;4,2;2402;0,779966866
Dki Jakarta;Kota Jakarta Pusat;ID3173;0,08203;0,105380928;-0,1523;0,000326;0,037235967;0,0001554;4,5796;28,6132;75,6022;22.061;1049314;4,68;4394;4,187497737
Dki Jakarta;Kota Jakarta Barat;ID3174;0,08985;0,105373541;-0,1523;0,000322;0,038509441;0,0001471;4,2721;28,4124;75,0907;19.760;2.470.054;4,09;2242;0,907672464
Dki Jakarta;Kota Jakarta Utara;ID3175;0,06640;0,113192861;-0,1679;0,000272;0,036722333;0,0001214;4,2612;28,5729;76,3804;12.288;1808985;6,78;1699;0,939200712
Jawa Barat;Bogor;ID3201;-0,16018;0,605484729;-0,5430;0,000242;0,032672392;0,0000843;7,4651;24,5389;78,9301;1.861;5627020;7,27;1268;0,2253413
Jawa Barat;Sukabumi;ID3202;-0,19142;0,683606868;-0,6211;0,000143;0,029149142;0,0000540;6,6992;23,9761;84,1341;674;2802400;7,01;411;0,146660006
Jawa Barat;Cianjur;ID3203;-0,21487;0,722693396;-0,6368;0,000146;0,029094858;0,0000494;5,7831;23,7403;82,9593;700;2558140;10,22;372;0,145418155
Jawa Barat;Bandung;ID3204;-0,19925;0,675791239;-0,6211;0,000159;0,026273901;0,0000559;4,6810;22,3860;82,6592;2.136;3721110;6,4;741;0,199134129
Jawa Barat;Garut;ID3205;-0,23831;0,753951948;-0,6680;0,000128;0,02665349;0,0000453;5,1848;23,5908;83,6529;847;2683670;9,77;403;0,150167495
Jawa Barat;Tasikmalaya;ID3206;-0,23830;0,691433787;-0,6055;0,000116;0,027481256;0,0000446;6,1418;25,0134;85,2041;705;1907050;10,28;191;0,100154689
Jawa Barat;Ciamis;ID3207;-0,22267;0,652361862;-0,5742;0,000138;0,028485835;0,0000481;5,8863;25,5285;85,3099;782;1251540;7,42;182;0,145420842
Jawa Barat;Kuningan;ID3208;-0,20705;0,730501906;-0,6524;0,000147;0,028818328;0,0000517;5,5349;26,6496;80,8459;1.003;1201760;12,12;243;0,202203435
Jawa Barat;Cirebon;ID3209;-0,09765;0,410138944;-0,4336;0,000181;0,032390629;0,0000598;4,3691;29,0350;76,0987;2.150;2360440;11,2;484;0,205046517
Jawa Barat;Majalengka;ID3210;-0,12892;0,558599846;-0,5352;0,000188;0,031227549;0,0000617;5,8953;26,4561;77,6528;1.004;1340620;11,21;250;0,186480882
Jawa Barat;Sumedang;ID3211;-0,21486;0,730500608;-0,6446;0,000178;0,029245273;0,0000567;5,3083;25,5548;77,8846;745;1178240;9,36;271;0,230004074
Jawa Barat;Indramayu;ID3212;-0,12110;0,347638817;-0,3945;0,000182;0,032875007;0,0000608;3,6251;28,5930;72,5746;902;1894330;12,13;296;0,156255774
Jawa Barat;Subang;ID3213;-0,19143;0,496059542;-0,4961;0,000199;0,032615338;0,0000671;4,2814;27,1178;75,6541;750;1649820;9,52;332;0,201234074
Jawa Barat;Purwakarta;ID3214;-0,14456;0,574222073;-0,5430;0,000229;0,032565889;0,0000748;5,3254;26,1259;77,9730;1.036;1037070;8,46;347;0,334596507
Jawa Barat;Karawang;ID3215;-0,19923;0,386718794;-0,4180;0,000204;0,033798696;0,0000681;3,6855;27,9962;76,3591;1.309;2526000;7,87;765;0,302850356
Jawa Barat;Bekasi;ID3216;-0,04297;0,355470803;-0,4024;0,000241;0,03456136;0,0000845;4,3208;28,0394;76,9258;2.570;3237420;4,93;1299;0,401245436
Jawa Barat;Bandung Barat;ID3217;-0,14454;0,613298333;-0,5742;0,000197;0,029886184;0,0000643;4,7076;23,3178;81,6630;1.439;1859640;10,52;295;0,158632854
Jawa Barat;Pangandaran;ID3218;-0,24612;0,66800127;-0,5899;0,000108;0,028880484;0,0000427;5,9522;26,3368;84,1054;383;431460;8,98;70;0,162239837
Jawa Barat;Kota Bogor;ID3271;-0,00390;0,347641698;-0,3633;0,000280;0,033797271;0,0001103;10,4846;25,0172;78,7914;9.55;1070720;6,67;694;0,648161984
Jawa Barat;Kota Sukabumi;ID3272;-0,02732;0,380846166;-0,4004;0,000178;0,029916289;0,0000649;7,2117;22,7130;82,0508;7.377;360640;7,5;221;0,612799468
Jawa Barat;Kota Bandung;ID3273;0,09767;0,199169336;-0,2851;0,000213;0,030867137;0,0000759;4,2475;24,1566;80,6829;14.776;2506600;3,96;2641;1,053618447
Jawa Barat;Kota Cirebon;ID3274;0,05864;0,316381686;-0,3789;0,000187;0,033074051;0,0000670;4,7709;29,3305;75,5982;8.646;341980;9,16;354;1,035148254
Jawa Barat;Kota Bekasi;ID3275;0,08984;0,183568952;-0,2461;0,000308;0,035562131;0,0001346;4,4278;27,9764;76,9936;12.159;2627210;4,1;1307;0,497485926
Jawa Barat;Kota Depok;ID3276;0,05080;0,238244926;-0,2930;0,000298;0,036121605;0,0001293;6,7284;27,3377;76,9408;10.622;2145400;2,38;1137;0,529971101
Jawa Barat;Kota Cimahi;ID3277;0,10546;0,199182066;-0,2929;0,000216;0,030869526;0,0000832;3,3849;23,9872;81,1753;13.557;590780;4,66;391;0,661836894
Jawa Barat;Kota Tasikmalaya;ID3278;-0,12891;0,472661241;-0,4570;0,000147;0,028223328;0,0000499;5,8633;25,0187;86,7590;3.988;741760;11,53;250;0,337036238
Jawa Barat;Kota Banjar;ID3279;-0,17382;0,5429857;-0,5039;0,000147;0,029696835;0,0000502;4,4185;26,5797;84,8139;1.576;207510;6,14;83;0,399980724
Jawa Tengah;Cilacap;ID3301;-0,18360;0,574212871;-0,5352;0,000132;0,029186653;0,0000501;4,9815;26,5683;83,8706;924;2007829;10,99;436;0,217149966
Jawa Tengah;Banyumas;ID3302;-0,20705;0,683613116;-0,6133;0,000134;0,028912389;0,0000498;6,3546;25,9949;83,0873;1.340;1828573;12,53;860;0,470312096
Jawa Tengah;Purbalingga;ID3303;-0,21487;0,699250546;-0,6211;0,000147;0,028423716;0,0000493;10,4745;25,6842;82,3134;1.487;1027333;14,99;262;0,255029285
Jawa Tengah;Banjarnegara;ID3304;-0,24613;0,738327074;-0,6524;0,000131;0,02760422;0,0000481;8,5209;24,6561;83,9604;1.003;1047226;14,9;195;0,186206225
Jawa Tengah;Kebumen;ID3305;-0,15233;0,605467508;-0,5664;0,000132;0,02938176;0,0000465;4,9753;26,6157;82,3116;1.124;1397555;16,34;398;0,284783068
Jawa Tengah;Purworejo;ID3306;-0,20704;0,683623003;-0,6212;0,000144;0,02939781;0,0000471;4,1847;26,0506;83,4543;709;788265;11,33;261;0,331106925
Jawa Tengah;Wonosobo;ID3307;-0,26175;0,769590877;-0,6758;0,000123;0,026770408;0,0000486;7,4127;23,9118;85,1299;903;909664;15,58;239;0,262734372
Jawa Tengah;Magelang;ID3308;-0,19143;0,652344963;-0,5977;0,000161;0,028457076;0,0000555;5,1960;24,5218;84,3738;1.184;1330656;10,96;283;0,212677056
Jawa Tengah;Boyolali;ID3309;-0,05860;0,5195431;-0,5273;0,000185;0,029922826;0,0000589;5,1396;26,2644;77,9351;1.061;1090129;9,81;398;0,365094406
Jawa Tengah;Klaten;ID3310;-0,09767;0,527366307;-0,5117;0,000171;0,029310183;0,0000575;3,9553;26,3811;80,7370;1.925;1284386;12,28;566;0,440677491
Jawa Tengah;Sukoharjo;ID3311;-0,01952;0,464848712;-0,4805;0,000177;0,029443136;0,0000574;4,0027;27,1156;78,9186;1.864;932680;7,58;521;0,558605309
Jawa Tengah;Wonogiri;ID3312;-0,05077;0,55859231;-0,5664;0,000128;0,026990152;0,0000479;4,5458;25,7424;82,3715;585;1051085;10,94;358;0,340600427
