PROVINSI;KAB/KOT;ID;DBD;LST;NDMI;CURAH HUJAN;MIGRASI MASUK RISEN
Dki Jakarta;Kepulauan Seribu;ID3101;31;27,81023;0,3242;3,5583;1.128
Dki Jakarta;Kota Jakarta Selatan;ID3171;1.846;41,56192;-0,0664;3,6667;75.993
Dki Jakarta;Kota Jakarta Timur;ID3172;2.069;38,87722;-0,0742;3,6186;84.960
Dki Jakarta;Kota Jakarta Pusat;ID3173;752;41,43537;-0,0820;3,5706;23.246
Dki Jakarta;Kota Jakarta Barat;ID3174;2.043;38,81310;-0,0586;3,2434;48.436
Dki Jakarta;Kota Jakarta Utara;ID3175;1.397;39,87652;-0,0508;3,5460;39.713
Jawa Barat;Bogor;ID3201;1.939;27,62461;0,2227;5,5008;186.731
Jawa Barat;Sukabumi;ID3202;383;24,12498;0,2617;4,8028;29.584
Jawa Barat;Cianjur;ID3203;819;24,87543;0,2930;6,1988;28.731
Jawa Barat;Bandung;ID3204;4.191;24,62445;0,2461;13,3256;93.765
Jawa Barat;Garut;ID3205;904;27,37560;0,2617;8,5663;36.489
Jawa Barat;Tasikmalaya;ID3206;319;27,62484;0,2930;11,9396;29.054
Jawa Barat;Ciamis;ID3207;702;28,12527;0,2774;14,8136;31.811
Jawa Barat;Kuningan;ID3208;1.474;30,62553;0,2461;18,1281;32.227
Jawa Barat;Cirebon;ID3209;1.815;33,87478;0,1680;18,5763;47.951
Jawa Barat;Majalengka;ID3210;641;30,62563;0,1758;16,3200;31.438
Jawa Barat;Sumedang;ID3211;2.186;28,62591;0,2461;13,1913;28.830
Jawa Barat;Indramayu;ID3212;370;35,24745;0,2070;17,9107;33.496
Jawa Barat;Subang;ID3213;995;30,87682;0,2696;15,1741;23.827
Jawa Barat;Purwakarta;ID3214;412;26,12526;0,2539;8,2675;24.252
Jawa Barat;Karawang;ID3215;1.320;27,62426;0,2852;7,2331;62.727
Jawa Barat;Bekasi;ID3216;1.009;30,12485;0,1680;6,7160;201.260
Jawa Barat;Bandung Barat;ID3217;1.260;24,12491;0,2461;12,1250;41.950
Jawa Barat;Pangandaran;ID3218;502;28,87428;0,3164;10,3507;9.708
Jawa Barat;Kota Bogor;ID3271;1.531;34,87379;0,0273;5,1518;31.797
Jawa Barat;Kota Sukabumi;ID3272;1.028;28,18729;0,1133;10,5898;18.037
Jawa Barat;Kota Bandung;ID3273;5.205;34,81307;-0,0899;9,4730;83.907
Jawa Barat;Kota Cirebon;ID3274;270;38,06276;-0,0274;22,8725;13.071
Jawa Barat;Kota Bekasi;ID3275;2.442;37,87224;-0,0664;5,1673;111.446
Jawa Barat;Kota Depok;ID3276;2.234;36,12319;-0,0352;3,6426;159.179
Jawa Barat;Kota Cimahi;ID3277;675;34,37754;-0,0820;11,8693;37.502
Jawa Barat;Kota Tasikmalaya;ID3278;1.855;32,62562;0,1914;12,8050;21.945
Jawa Barat;Kota Banjar;ID3279;113;32,56266;0,2539;10,7944;10.018
Jawa Tengah;Cilacap;ID3301;902;31,87530;0,2696;11,7846;69.865
Jawa Tengah;Banyumas;ID3302;307;31,12582;0,2539;12,5735;80.825
Jawa Tengah;Purbalingga;ID3303;276;30,87530;0,2618;15,7475;35.968
Jawa Tengah;Banjarnegara;ID3304;474;27,87489;0,2930;13,5791;34.572
Jawa Tengah;Kebumen;ID3305;156;32,62568;0,2461;7,1081;83.261
Jawa Tengah;Purworejo;ID3306;131;31,12457;0,2774;9,6042;44.205
Jawa Tengah;Wonosobo;ID3307;69;26,87541;0,2930;7,4229;40.126
Jawa Tengah;Magelang;ID3308;313;30,12500;0,2461;6,3593;40.677
Jawa Tengah;Boyolali;ID3309;297;32,87568;0,1680;8,3370;37.737
Jawa Tengah;Klaten;ID3310;540;34,87550;0,1680;7,1129;41.551
Jawa Tengah;Sukoharjo;ID3311;643;35,87467;0,1367;9,6073;45.016
Jawa Tengah;Wonogiri;ID3312;109;31,87546;0,1914;10,0479;31.093
Jawa Tengah;Karanganyar;ID3313;345;30,37438;0,2070;10,0694;32.051
Jawa Tengah;Sragen;ID3314;187;32,93740;0,1367;8,7992;35.907
Jawa Tengah;Grobogan;ID3315;1.275;34,37502;0,1055;10,0460;26.599
Jawa Tengah;Blora;ID3316;589;32,12487;0,0977;4,7804;45.259
Jawa Tengah;Rembang;ID3317;201;35,62561;0,1133;6,6057;14.770
Jawa Tengah;Pati;ID3318;911;35,12422;0,1367;7,5252;44.543
Jawa Tengah;Kudus;ID3319;553;34,62510;0,1602;8,1498;16.562
Jawa Tengah;Jepara;ID3320;221;31,62504;0,2227;8,0208;17.578
Jawa Tengah;Demak;ID3321;305;35,12509;0,1211;10,7818;21.056
Jawa Tengah;Semarang;ID3322;90;30,87488;0,2227;8,1818;45.278
Jawa Tengah;Temanggung;ID3323;29;28,12474;0,2696;6,2114;24.486
Jawa Tengah;Kendal;ID3324;457;33,12510;0,2227;9,3623;39.367
Jawa Tengah;Batang;ID3325;372;31,62630;0,2774;8,1940;18.510
Jawa Tengah;Pekalongan;ID3326;663;31,24894;0,2852;13,8292;24.369
Jawa Tengah;Pemalang;ID3327;114;32,87547;0,2227;14,5617;42.929
Jawa Tengah;Tegal;ID3328;499;34,62537;0,1602;13,5180;53.602
Jawa Tengah;Brebes;ID3329;66;33,87668;0,1836;14,7545;58.535
Jawa Tengah;Kota Magelang;ID3371;62;39,43614;-0,0274;6,1167;7.980
Jawa Tengah;Kota Surakarta;ID3372;166;40,84277;-0,1289;7,4935;19.657
Jawa Tengah;Kota Salatiga;ID3373;56;32,93698;0,1680;9,7618;16.381
Jawa Tengah;Kota Semarang;ID3374;865;35,62436;0,1133;9,3573;53.668
Jawa Tengah;Kota Pekalongan;ID3375;126;36,06571;0,0273;14,5416;9.384
Jawa Tengah;Kota Tegal;ID3376;107;39,18937;0,0039;10,0479;10.946
Daerah Istimewa Yogyakarta;Kulon Progo;ID3401;240;31,43614;0,2539;7,7938;20.219
Daerah Istimewa Yogyakarta;Bantul;ID3402;957;33,43758;0,1836;8,2235;75.100
Daerah Istimewa Yogyakarta;Gunung Kidul;ID3403;457;32,06220;0,1680;7,8266;26.584
