,PROVINSI,KAB/KOT,ID,NDBI,NDVI,NDWI,CO2,CO,NO2,Curah Hujan (BMKG),Temperature (BMKG),Kelembaban (BMKG),KEP. PENDUDUK,JUMLAH PENDUDUK,PRESENTASE PENDUDUK MISKIN,JUMLAH DOKTER,RASIO DOKTER,Index,Cluster
0,Dki Jakarta,Kepulauan Seribu,ID3101,-0.32422,0.613231,-0.51174,0.000163,0.028688,6.43e-05,6.911952869,27.92203506,78.91253939,2841,28262,14.11,18,0.636897601,0.40342177714511107,1
1,Dki Jakarta,Kota Jakarta Selatan,ID3171,0.066423,0.238234,-0.30854,0.000262,0.032184,0.000151,7.635475766,27.59717305,79.68177037,14545,2234262,3.52,3789,1.695861989,0.7846661114045856,3
2,Dki Jakarta,Kota Jakarta Timur,ID3172,0.074234,0.175737,-0.24606,0.000268,0.032161,0.000146,6.468014777,27.65048414,80.40265751,16879,3066074,4.3,3092,1.008455765,0.8137223481060387,3
3,Dki Jakarta,Kota Jakarta Pusat,ID3173,0.082019,0.121039,-0.18353,0.000287,0.032995,0.000149,5.724818703,28.015783,79.37873073,20618,1053482,4.9,4913,4.663582292,1.0,3
4,Dki Jakarta,Kota Jakarta Barat,ID3174,0.058613,0.128858,-0.16796,0.000258,0.032589,0.00014,5.610372462,27.78550409,78.88220351,19679,2458707,4.22,3067,1.247403615,0.887023438654517,3
5,Dki Jakarta,Kota Jakarta Utara,ID3175,0.050788,0.136668,-0.1836,0.000243,0.032639,0.000125,5.126672159,28.02861876,79.64680257,12811,1799220,7.24,18,0.01000433521,0.8073868121704069,3
6,Jawa Barat,Bogor,ID3201,-0.22269,0.707061,-0.61332,0.000204,0.028778,8.51e-05,9.789516936,24.05917786,83.55742939,1861,5566838,7.73,850,0.1526899112,0.23689667530932948,2
7,Jawa Barat,Sukabumi,ID3202,-0.26174,0.746111,-0.64457,0.000114,0.026596,6.15e-05,12.38354173,23.80900761,86.21682235,674,2806664,7.34,314,0.1118765909,0.06762857250779791,2
8,Jawa Barat,Cianjur,ID3203,-0.29299,0.79302,-0.69145,0.000119,0.026942,5.58e-05,10.58215309,23.40974774,85.85058434,700,2542793,10.55,185,0.0727546442,0.06064196450917658,2
9,Jawa Barat,Bandung,ID3204,-0.24612,0.667978,-0.60551,0.000129,0.023754,6.14e-05,7.571328188,21.95672717,87.04118097,2136,3718660,6.8,437,0.1175154491,0.10200596245589622,2
10,Jawa Barat,Garut,ID3205,-0.26955,0.777381,-0.66801,9.48e-05,0.024488,5.22e-05,10.25354859,23.45324857,86.2689816,847,2627220,10.42,246,0.09363509717,0.04066733041777454,2
11,Jawa Barat,Tasikmalaya,ID3206,-0.30083,0.816486,-0.69928,9.71e-05,0.025588,5.2e-05,11.62200501,24.99800713,86.75067366,705,1906288,10.73,125,0.06557246334,0.03210711715213532,2
12,Jawa Barat,Ciamis,ID3207,-0.27739,0.761756,-0.66801,0.000118,0.026534,5.47e-05,9.996256852,25.48618727,87.42305996,782,1247768,7.72,144,0.1154060691,0.1060324225831657,2
13,Jawa Barat,Kuningan,ID3208,-0.24614,0.777395,-0.66801,0.00012,0.026534,5.75e-05,9.630930033,26.21357131,85.49679753,1003,1196017,12.76,211,0.1764188971,0.14942038611018194,2
14,Jawa Barat,Cirebon,ID3209,-0.16797,0.527346,-0.49616,0.000147,0.029642,6.43e-05,7.558343952,28.36227581,80.84099278,2160,2315417,12.01,465,0.2008277559,0.4348345736112068,1
15,Jawa Barat,Majalengka,ID3210,-0.17579,0.58985,-0.5508,0.000164,0.028894,6.63e-05,9.623101044,25.82055607,83.76343306,1004,1335460,11.94,145,0.10857682,0.28903524772154554,1
16,Jawa Barat,Sumedang,ID3211,-0.24614,0.79304,-0.67582,0.000154,0.026565,6.37e-05,9.296745642,24.81423463,84.59119686,745,1167033,10.14,136,0.1165348366,0.15241065695829034,2
17,Jawa Barat,Indramayu,ID3212,-0.20705,0.472667,-0.45703,0.000166,0.029933,6.65e-05,5.809172823,27.76218402,78.55883351,902,1871832,12.77,227,0.1212715671,0.4864246610206837,1
18,Jawa Barat,Subang,ID3213,-0.26956,0.550772,-0.51171,0.000181,0.029456,7.21e-05,6.559652861,26.27266727,81.48627954,750,1624386,9.75,206,0.1268171481,0.3740509244513014,1
19,Jawa Barat,Purwakarta,ID3214,-0.25394,0.714885,-0.63676,0.000185,0.028974,7.78e-05,8.592819439,25.29046302,83.0774862,1036,1028569,8.7,258,0.2508339256,0.2572955475614556,2
20,Jawa Barat,Karawang,ID3215,-0.28517,0.429676,-0.43359,0.000193,0.030259,7.78e-05,4.67772673,27.31087619,80.36703139,1309,2505247,8.44,477,0.1904003877,0.4890569570317408,1
21,Jawa Barat,Bekasi,ID3216,-0.16798,0.398431,-0.41017,0.000219,0.031294,9.7e-05,5.124587544,27.44198899,80.79184226,2570,3214791,5.01,676,0.2102780554,0.5600166644063549,1
22,Jawa Barat,Bandung Barat,ID3217,-0.2461,0.722699,-0.64457,0.000146,0.026452,6.82e-05,7.135472762,22.67469222,85.79851219,1439,1846969,10.82,223,0.1207383557,0.14391204645661984,2
23,Jawa Barat,Pangandaran,ID3218,-0.31645,0.816487,-0.69929,0.000109,0.027019,5.11e-05,11.77099915,26.44649693,83.84511445,383,432380,9.32,63,0.1457051668,0.11224087826873083,2
24,Jawa Barat,Kota Bogor,ID3271,-0.02733,0.394483,-0.39451,0.000212,0.029592,0.000102,11.68016324,24.59163889,83.10075253,9550,1063513,7.1,494,0.4644983183,0.44380144751574113,3
25,Jawa Barat,Kota Sukabumi,ID3272,-0.1133,0.433578,-0.43359,0.00013,0.026963,6.51e-05,10.45083391,22.16363762,86.81944958,7377,356410,8.02,156,0.4376981566,0.25105141084532684,2
26,Jawa Barat,Kota Bandung,ID3273,0.089883,0.230441,-0.31638,0.000155,0.027565,7.67e-05,6.44048131,23.43011244,85.7240851,14776,2461553,4.25,2514,1.021306468,0.5384391668641496,3
27,Jawa Barat,Kota Cirebon,ID3274,0.027361,0.355461,-0.40229,0.000155,0.030104,6.7e-05,7.57090172,28.6581913,80.39661814,8652,341235,9.82,231,0.6769528331,0.6076828892173206,3
28,Jawa Barat,Kota Bekasi,ID3275,0.066426,0.222628,-0.29295,0.000264,0.031637,0.000142,6.298032857,27.32322654,81.11029303,12159,2590257,4.43,916,0.3536328635,0.7345628705303018,3
29,Jawa Barat,Kota Depok,ID3276,0.035142,0.339826,-0.37888,0.000225,0.031818,0.000125,8.943988276,26.6594551,81.19726322,10622,2123349,2.53,621,0.2924625203,0.6130496134095833,3
30,Jawa Barat,Kota Cimahi,ID3277,0.08201,0.26953,-0.36326,0.000158,0.027535,8.08e-05,5.619294311,23.26584599,85.49300734,13557,575235,5.11,288,0.5006649456,0.5099713653194133,3
31,Jawa Barat,Kota Tasikmalaya,ID3278,-0.19923,0.582029,-0.53512,0.000128,0.026579,5.51e-05,11.10955193,25.02670571,88.57703524,3988,733467,12.72,182,0.2481365896,0.16663291307410527,2
32,Jawa Barat,Kota Banjar,ID3279,-0.25395,0.730498,-0.65236,0.00012,0.028228,5.51e-05,8.15120441,26.53524164,86.58574185,1576,206457,6.73,64,0.3099919111,0.20658646055915375,2
33,Jawa Tengah,Cilacap,ID3301,-0.26955,0.644539,-0.56642,0.000123,0.027638,5.76e-05,10.89546844,26.53088774,85.02099296,930,1988622,11.02,400,0.20114431,0.20028006492521405,2
34,Jawa Tengah,Banyumas,ID3302,-0.24612,0.691413,-0.6133,0.000124,0.027306,5.76e-05,13.06655713,25.91316338,85.54728489,1360,1806013,12.84,881,0.4878148718,0.14283113894137348,2
35,Jawa Tengah,Purbalingga,ID3303,-0.26175,0.746128,-0.65238,0.000127,0.02656,5.56e-05,16.69091353,25.52539866,86.17821527,1311,1019840,15.3,236,0.2314088484,0.03626887648691651,2
